icao24,origin_country,velocity,on_ground
a9ea34,United States,53.35,False
471f73,Hungary,222.55,False
a88d76,United States,207.71,False
440cf8,Austria,223.85,False
e48043,Brazil,160.28,False
a76154,United States,189.12,False
c02cfc,Canada,221.51,False
e48044,Brazil,228.22,False
ac1b80,United States,150.81,False
471f5c,Hungary,208.53,False
a1c6a8,United States,207.11,False
3c6752,Germany,81.78,False
a8e45c,United States,195.82,False
471f5d,Hungary,156.13,False
3c6750,Germany,0.0,False
408064,United Kingdom,226.42,False
408066,United Kingdom,142.28,False
3c674f,Germany,0.0,True
4400dc,Austria,176.46,False
a03cb6,United States,225.1,False
3c674e,Germany,228.93,False
3c674d,Germany,2.31,True
a8947e,United States,216.58,False
a189d8,United States,126.6,False
e48c4d,Brazil,158.76,False
8014fa,India,253.07,False
40804e,United Kingdom,64.66,False
a89491,United States,229.9,False
471f58,Hungary,218.48,False
471f55,Hungary,222.56,False
a7615f,United States,254.47,False
c07c7b,Canada,213.77,False
408051,United Kingdom,219.82,False
408052,United Kingdom,125.3,False
a559d1,United States,166.05,False
4248a7,United Kingdom,274.75,False
471f54,Hungary,117.14,False
c07c7a,Canada,179.1,False
a7b13b,United States,96.21,False
34440a,Spain,145.93,False
3c542d,Germany,139.11,False
471f3d,Hungary,167.19,False
abfb7c,United States,12.35,True
a8946e,United States,148.96,False
a831e5,United States,234.26,False
c0703b,Canada,41.37,False
a0ef1e,United States,63.17,False
a594fa,United States,0.0,True
a5d1b9,United States,169.82,False
a6eab8,United States,196.71,False
a3696e,United States,174.06,False
a88d47,United States,92.72,False
c0831e,Canada,50.17,False
a8941e,United States,40.34,False
a95dd3,United States,70.15,False
0d1201,Mexico,224.49,False
801600,India,258.87,False
a76d5a,United States,208.29,False
a604f9,United States,56.13,False
aa2a54,United States,124.29,False
a1f001,United States,47.94,False
c87f41,New Zealand,3.34,True
471f35,Hungary,61.69,False
3c6713,Germany,244.07,False
3c6712,Germany,230.72,False
a40ca4,United States,148.57,False
3c6710,Germany,230.17,False
801605,India,186.61,False
a9b4a4,United States,175.12,False
3c6718,Germany,262.88,False
a21c4c,United States,113.69,False
a23675,United States,84.76,False
471f31,Hungary,228.59,False
a9c7c7,United States,53.62,False
a83dbe,United States,141.87,False
a21c53,United States,187.55,False
a030a8,United States,237.43,False
a6fdfb,United States,77.54,False
a7612f,United States,143.69,False
a8f728,United States,0.0,True
c02cf1,Canada,121.58,False
a63a5c,United States,0.0,True
471f04,Hungary,214.53,False
0d0b35,Mexico,209.13,False
758384,Philippines,252.05,False
a163c2,United States,228.78,False
a844e0,United States,53.57,False
a7aa1f,United States,44.17,False
a6a45e,United States,205.23,False
a1bfde,United States,48.55,False
a831b2,United States,228.83,False
a36968,United States,38.88,False
a6eacf,United States,235.03,False
ac9709,United States,87.84,False
a977bb,United States,266.23,False
a76d90,United States,5.92,True
a296e5,United States,7.72,True
4008ae,United Kingdom,163.41,False
a3da8e,United States,61.01,False
4008b5,United Kingdom,225.34,False
a319e5,United States,20.4,False
40808b,United Kingdom,70.06,False
885283,Thailand,273.79,False
0d121b,Mexico,230.24,False
0d121d,Mexico,164.01,False
a977d4,United States,201.77,False
c046f7,Canada,84.38,False
440ce0,Austria,259.77,False
7c4921,Australia,285.18,False
a7d769,United States,92.26,False
4951cd,Portugal,196.83,False
4951ce,Portugal,202.3,False
a1fc18,United States,158.42,False
a65490,United States,162.9,False
a176eb,United States,59.24,False
a35621,United States,25.74,False
80174a,India,216.11,False
c07e2c,Canada,231.1,False
ac1d30,United States,83.75,False
a59662,United States,54.26,False
a4d97e,United States,140.44,False
a030fd,United States,181.02,False
a1f02d,United States,196.81,False
a46345,United States,66.36,False
c02ebd,Canada,223.58,False
00c469,South Africa,2.83,True
e48c05,Brazil,224.12,False
e48c04,Brazil,190.33,False
a76cb4,United States,193.63,False
40822d,United Kingdom,222.12,False
